Cod,Freq,Mag
0,70,-8.9319
0,80,-7.7843
0,90,-9.8228
0,100,-6.8576
0,110,-5.8726
0,120,-3.9948
0,130,-4.549
0,140,-5.3473
0,150,-2.9152
0,160,-3.6674
0,170,-2.6283
0,180,-3.4854
0,190,-1.6572
0,200,-2.7277
0,210,-1.4054
0,220,-1.9288
0,230,-0.4377
0,240,-0.9615
0,250,-1.4186
0,260,-1.3624
0,270,-0.4713
0,280,-0.2869
0,290,0.5383
0,300,1.0977
0,310,-0.4132
0,320,0.6266
0,330,0.363
0,340,-0.0005
0,350,0.5423
0,360,0.3738
0,370,0.6656
0,380,-0.0345
0,390,1.7593
0,400,0.0254
0,410,1.6444
0,420,0.6866
0,430,0.1382
0,440,-0.2127
0,450,0.3903
0,460,1.6379
0,470,1.612
0,480,1.6616
0,490,1.0736
0,500,0.3508
0,510,0.9404
0,520,0.5563
0,530,1.8597
0,540,0.9748
0,550,0.7232
0,560,0.9959
0,570,1.2124
0,580,2.5508
0,590,1.7036
0,600,2.0194
0,610,1.5443
0,620,1.7086
0,630,1.5861
0,640,2.1084
0,650,2.1444
0,660,1.7483
0,670,3.3472
0,680,2.1094
0,690,1.4664
0,700,2.574
0,710,2.398
0,720,1.6122
0,730,2.6834
0,740,1.4536
0,750,2.604
0,760,1.3843
0,770,2.5545
0,780,1.4114
0,790,1.6473
0,800,1.1019
0,810,2.4311
0,820,2.3572
0,830,1.6164
0,840,1.9993
0,850,1.435
0,860,2.5336
0,870,3.1776
0,880,2.2137
0,890,3.3953
0,900,1.5088
0,910,3.0746
0,920,2.5459
0,930,3.5474
0,940,3.1943
0,950,2.0769
0,960,3.3118
0,970,2.1823
0,980,1.5362
0,990,3.0967
0,1000,2.728
0,1010,1.5571
0,1020,1.487
0,1030,2.7316
0,1040,2.9101
0,1050,2.714
0,1060,1.6892
0,1070,2.279
0,1080,1.7149
0,1090,3.099
0,1100,3.4951
0,1110,2.5561
0,1120,1.5854
0,1130,2.3515
0,1140,1.5645
0,1150,2.2863
0,1160,2.7255
0,1170,2.3412
0,1180,1.6152
0,1190,1.5464
0,1200,2.1025
0,1210,2.8849
0,1220,2.5532
0,1230,1.6172
0,1240,2.3725
0,1250,3.2107
0,1260,1.9002
0,1270,2.4181
0,1280,3.0811
0,1290,3.1949
0,1300,1.6419
0,1310,3.8884
0,1320,5.024
0,1330,3.6952
0,1340,4.767
0,1350,3.518
0,1360,4.802
0,1370,4.6378
0,1380,3.6054
0,1390,3.9853
0,1400,4.6017
0,1410,4.8162
0,1420,3.3309
0,1430,3.562
0,1440,3.2918
0,1450,3.7787
0,1460,3.2463
0,1470,4.6661
0,1480,4.6925
0,1490,3.7481
0,1500,4.7019
0,1510,4.1878
0,1520,4.2667
0,1530,3.884
0,1540,3.8391
0,1550,4.4555
0,1560,4.503
0,1570,4.4743
0,1580,3.4248
0,1590,4.9531
0,1600,4.5134
0,1610,4.3655
0,1620,3.4524
0,1630,4.4679
0,1640,4.4417
0,1650,4.2401
0,1660,3.2428
0,1670,3.9783
0,1680,3.5457
0,1690,2.9585
0,1700,3.0887
0,1710,3.4289
0,1720,3.2091
0,1730,3.0263
0,1740,3.8572
0,1750,3.8477
0,1760,2.6487
0,1770,3.3618
0,1780,2.9573
0,1790,2.6974
0,1800,3.052
0,1810,3.1891
0,1820,3.6537
0,1830,2.7535
0,1840,3.1047
0,1850,3.4277
0,1860,3.5595
0,1870,3.4258
0,1880,3.5266
0,1890,3.0344
0,1900,3.669
0,1910,3.6322
0,1920,3.3659
0,1930,4.0866
0,1940,3.2549
0,1950,3.4074
0,1960,3.9529
0,1970,3.3604
0,1980,2.9684
0,1990,2.7286
0,2000,2.7784
0,2010,2.5274
0,2020,3.3918
0,2030,2.3478
0,2040,2.3159
0,2050,2.1484
0,2060,2.7948
0,2070,2.1515
0,2080,2.0286
0,2090,1.7533
0,2100,2.2977
0,2110,2.3366
0,2120,1.6496
0,2130,1.5851
0,2140,1.5966
0,2150,1.6977
0,2160,1.5777
0,2170,1.7153
0,2180,1.8045
0,2190,1.7087
0,2200,1.9949
0,2210,2.3604
0,2220,2.5588
0,2230,2.4129
0,2240,2.3034
0,2250,2.6674
0,2260,2.5931
0,2270,2.6761
0,2280,3.1095
0,2290,2.5021
0,2300,2.7016
0,2310,2.5437
